食譜名稱,作者,圖片,份數,料理時間,食材,食材數量,料理步驟
"
涼拌蛋沙拉
",愛麗絲DIY(=^_^=),https://img-global.cpcdn.com/recipes/59f84d9dcd00c199/751x532cq70/%E6%B6%BC%E6%8B%8C%E8%9B%8B%E6%B2%99%E6%8B%89-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 一人
  ",Na,"馬鈴薯一顆切片(蒸熟壓成泥)
紅蘿蔔半根切丁
水煮蛋一顆
小黃瓜切絲醃糖半根
美乃滋少許
","




","1.將所有材料一起放盆中拌勻,水煮蛋蛋黃取出裝飾,用保鮮膜將形狀捏出2.海苔剪成條狀包起沙拉捲,最後放上蛋黃"
"
病毒蛋炒飯【Covid-19friedrice】
",美國番媽,https://img-global.cpcdn.com/recipes/5005ab3fff67599c/751x532cq70/%E7%97%85%E6%AF%92%E8%9B%8B%E7%82%92%E9%A3%AFcovid-19-fried-rice-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 1人份
  ","
 10分鐘
      ","油
去頭去尾去腸泥蝦
蛋
白飯
胡蘿蔔
塩
","1 湯匙
3 尾
1 粒
1/2 碗
1/2 條
適量
",1.蝦切碎，中火熱鍋放油，放入蝦炒至變色(約45秒)。2.蛋打匀倒入飯中拌匀。3.倒入鍋中炒至飯膨脹，撒上塩炒匀。4.上桌，放上去皮切片的胡蘿蔔!5.請視吃🤣🤣🤣
"
鮭魚炒麵
",趙蓓蒂,https://img-global.cpcdn.com/recipes/b70a8eccaa09ee90/751x532cq70/%E9%AE%AD%E9%AD%9A%E7%82%92%E9%BA%B5-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 3人份
  ",Na,"鮭魚
蔥
木耳
高麗菜
蒜末
鰹魚醬油
","1 片
1 支
2 朵

1 匙
適量
",1.蔥切段狀備用，鮭魚切塊煎熟，撈起備用，木耳切成絲蔥.蒜末.高麗菜下鍋拌炒至菜軟，下油麵，將所有的食材下鍋2.加入鰹魚醬油和油麵拌勻後再放入煎好的鮭魚，再輕輕的翻炒一下，即可起鍋囉
"
「香菇培根蛋」健康的食材原味
",姍姍好食光,https://img-global.cpcdn.com/recipes/28152b9b016747bb/751x532cq70/%E3%80%8C%E9%A6%99%E8%8F%87%E5%9F%B9%E6%A0%B9%E8%9B%8B%E3%80%8D%E5%81%A5%E5%BA%B7%E7%9A%84%E9%A3%9F%E6%9D%90%E5%8E%9F%E5%91%B3-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,na,Na,"鮮香菇
培根
蛋
油、鹽
","3 大朵
3 片
2 個
適量
",1.準備食材，培根片切小段、大朵厚實的鮮香菇洗淨切片。2.熱鍋，不用放油。培根加熱後會逼出油脂，可直接用來料理。3.培根出油變色後，放入香菇拌炒。4.將香菇炒至變色熟透，加鹽調味。5.直接打入雞蛋用筷子攪拌（或先在碗裡打蛋拌勻）。6.喜歡蛋軟嫩口感可早點熄火，用鍋子餘溫加熱就好。
"
葱爆豆芽菜
",北美liuliu,https://img-global.cpcdn.com/recipes/88d213895a97bdce/751x532cq70/%E8%91%B1%E7%88%86%E8%B1%86%E8%8A%BD%E8%8F%9C-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 3人份
  ","
 10 分鐘
      ","自孵有機豆芽菜1包
韭菜1把
葱3根
蒜頭2瓣
辣椒2根
醬汁：
低鹽醬油2大匙
糖1小匙
香油1大匙
白胡椒1/8小匙
黑胡椒1/8小匙
","










","1.食材備料準備：自孵有機綠豆芽2.1. 葱切段，葱白部分稍微拍打，韭菜切段，辣椒切段、蒜切片備用。芽菜沖洗瀝乾備有。
2. 醬汁：醬油、糖、香油、白胡椒、黑胡椒拌勻。3.1. 豆芽菜入滾水鍋，汆燙15秒取出。
2. 炒鍋倒油放蒜頭、辣椒、韭菜、葱白入鍋爆香。
3. 加入燙好的豆芽菜、葱綠拌炒，淋上醬料拌勻即可。4.盛盤完成葱爆豆芽菜"
"
小米粥
",袁偉軒,https://img-global.cpcdn.com/recipes/b852e23115e29ce2/751x532cq70/%E5%B0%8F%E7%B1%B3%E7%B2%A5-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 5人
  ","
 1小時
      ","小米*1
米*0.5（依個人喜好調整）
水*9（依個人喜好調整）
外鍋*3
","



",1.兩種米洗淨之後放入電鍋蒸
"
好吃營養大餃子！
",卓婉菁,https://img-global.cpcdn.com/recipes/212985b9e256de78/751x532cq70/%E5%A5%BD%E5%90%83%E7%87%9F%E9%A4%8A%E5%A4%A7%E9%A4%83%E5%AD%90-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 100顆以上
  ",Na,"高麗菜1顆中型約2~3斤（1800g)
韭菜1把約150g（不喜歡可不加）
蔥1把約100g（不喜歡可不加）
薑末2塊約70~100g
豬絞肉2斤（1200g)
鮮味精1匙
胡椒粉1匙
鹽2匙
糖1大匙
香油2大匙
醬油3大匙
菜如果比例高可加一些蛋液
","











",1.高麗菜洗淨切碎，個人喜歡把梗取下另外切，因為太大塊有時侯草腥味很重。蔥切蔥花，跟高麗菜一起加1匙鹽，混拌淨置15分左右，讓多的水份先脫出來，好擠乾，後面跟肉混合比較不容易出水。2.韭菜挑好洗淨切花，薑切末。高麗菜用布袋將水份擠乾（不要太用力，沒水份餃子也不好吃）最後蔬菜大約跟肉是一半一半5:5（喜歡肉多就減少菜量6:4，喜歡菜多就減少肉量4:6，如果菜量高到3:7以上，請加一點蛋液會比較好聚合好包）蔬菜類處理好我們可以來處理絞肉了！3.4.絞肉請跟肉販說買包水餃的肉就可以了，通常是前腿肉或後腿肉加一些油，喜歡嫩的可以選三層肉或五花肉去絞，我會請老闆絞兩次，回家就不用再剁了。5.絞肉加鹽、糖、鮮味精、醬油及胡椒粉，攪打至鍋邊有肉絨加薑末拌勻，加入蔬菜類拌勻，最後加香油拌勻，餃子餡就完成了！如果怕味道太淡可以先取一些煮熟試吃看看以自己口味爲主增減調整。6.包餃子沒什麼技巧，就是多練習就會好一點，以前會摺餃子現在求快都是用擠餃子的，但是都是好吃😋！
"
義式香料風味炸豬排
",楊柔依,https://img-global.cpcdn.com/recipes/1062a00fb83e7cb1/751x532cq70/%E7%BE%A9%E5%BC%8F%E9%A6%99%E6%96%99%E9%A2%A8%E5%91%B3%E7%82%B8%E8%B1%AC%E6%8E%92-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,na,Na,"豬里肌肉
大蒜
青蔥
地瓜粉
麵包粉
義式綜合香料
鹽
黑胡椒
麵粉
醬油
","1 塊
3 顆
1 支
適量
適量
適量
適量
適量

2 匙
",1.里肌肉切成片（厚度看個喜好），將肉排邊切小縫（防油炸時捲曲），再用肉鎚拍薄（不拍也可）2.肉排用醬油，胡椒，青蔥、大蒜醃漬30分鐘。再將麵粉和水拌入肉排，讓肉排表面有薄薄一層粉漿3.將地瓜粉、麵包粉、香料拌合。再把肉排沾上粉4.熱油鍋，將肉排炸熟即成，（可以配上一點豬排醬或灑上椒鹽食用）
"
檸檬薏米水
",亂太GG,https://img-global.cpcdn.com/recipes/537d5f5fc50e4fd8/751x532cq70/%E6%AA%B8%E6%AA%AC%E8%96%8F%E7%B1%B3%E6%B0%B4-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 3人
  ","
 20分鐘
      ","檸檬1個
冰糖1碗
生熟薏米2碗
水6碗
","



",1.水與生熟薏米倒入煲滾2.水滾後加入冰糖3.熄火檸檬切片後下
"
韓式泡菜粽
",美國番媽,https://img-global.cpcdn.com/recipes/8589126a229f338b/751x532cq70/%E9%9F%93%E5%BC%8F%E6%B3%A1%E8%8F%9C%E7%B2%BD-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 1人份
  ","
 35分鐘
      ","長糯米
蔴油
醬油
水
油蔥酥
韓式泡菜
","
1 湯匙
1 湯匙
3 湯匙
1 茶匙
適量
",1.長糯米洗淨。2.中火熱鍋放蔴油、放糯米炒香，加入醬油炒匀。3.加入水、油蔥酥炒香，米炒至半熟，熄火，備用。4.拿兩片錫箔紙，剪成粽葉型，兩面重疊折成漏斗狀。5.放入兩湯匙炒好的糯米飯，中間放適量泡菜，最後再蓋上糯米，蓋好蓋滿，錫箔紙包好。6.綁上繩子，放入大同電鍋內，外鍋放1杯量米杯水，下去蒸。7.出鍋，打開，拿出，淋上愛醬。
